,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
19260701,0.1,-0.09,-0.37,0.16,0.11,0.07
19260702,0.14,-0.19,0.31,0.52,0.47,0.3
19260706,0.42,0.42,0.19,0.3,0.1,-0.24
19260707,0.12,-0.32,-0.59,0.07,0.14,0.78
19260708,-0.07,-0.02,0.08,0.37,0.18,0.57
19260709,-0.9,0.03,0.12,-0.72,-0.76,-0.59
19260710,-0.07,0.18,0.18,0.91,0.54,0.4
19260712,-0.41,0.12,0.69,0.18,-0.09,0.22
19260713,0.11,-0.06,0.39,0.79,0.4,0.01
19260714,0,0.18,-0.26,0.23,-0.12,-0.53
19260715,0.45,-0.26,-0.17,-0.65,-0.29,-0.52
19260716,0.96,0.4,0.13,0.7,0.4,0.4
19260717,0.73,0.75,0.42,0.74,0.03,-0.24
19260719,0.03,0.3,-0.57,0.07,-0.01,-0.2
19260720,-1.02,-0.7,-0.6,-0.55,-0.43,-0.6
19260721,-0.22,-0.73,0,-0.66,-0.62,-0.32
19260722,-1.22,-0.88,-1.41,-0.97,-0.55,-1.04
19260723,0.3,-0.33,0.33,-0.01,0,0.03
19260724,0.53,0.4,0.09,-0.25,-0.11,0.07
19260726,0.27,0.08,0.19,0.79,0.46,0.3
19260727,-0.13,0.38,0.18,0.59,0.41,0.79
19260728,0.79,1.27,1.05,1.5,0.81,0.65
19260729,-0.14,-0.14,-0.87,0.92,0.18,-0.32
19260730,-0.23,-0.06,0.07,0.03,0.35,0.8
19260731,0.67,0.21,0.32,0.6,0.37,0.66
19260802,-0.41,1.08,0.72,1.22,0.79,0.09
19260803,1.14,-0.24,0.18,0.98,0.18,0.64
19260804,-0.07,-0.42,-0.03,-0.64,-0.19,-0.09
19260805,-0.13,0.07,0.45,-0.29,0.02,0.59
19260806,0.61,1.11,0.71,0.72,0.55,0.95
19260807,0.71,0.53,0.66,0.95,0.18,0.49
19260809,0.13,-0.19,0.31,0.59,-0.04,-0.05
19260810,-1.08,-0.91,-1.29,-1.99,-0.98,-1.39
19260811,-0.87,-0.22,-0.19,-0.68,-0.47,-0.67
19260812,0.12,0.43,0.43,0.99,0.79,1.53
19260813,-0.41,-0.37,0.17,0.73,0.65,0.63
19260814,0.68,0.94,0.53,1.05,0.42,0.36
19260816,0.37,0.08,0.84,-0.22,0.19,0.73
19260817,-0.56,-0.91,-0.55,-1.36,-0.69,-0.99
19260818,0.67,0.55,0.34,0.37,0.12,0.79
19260819,-0.42,-0.62,-0.42,-0.73,-0.52,-0.53
19260820,-0.89,-0.53,-0.14,-0.23,-0.15,-0.15
19260821,0.05,0.36,0.74,0.39,0.24,0.73
19260823,0.3,-0.22,0.91,0.81,0.2,1.26
19260824,-0.62,-0.79,-0.37,-1.1,-0.64,-1.52
19260825,-0.46,-0.59,-0.52,-0.31,-0.35,0.29
19260826,0.81,0.33,1.22,0.54,0.42,1.18
19260827,0.65,0.67,-0.15,0.19,0.38,0.18
19260828,0.18,0.93,0.19,0.37,0.19,0.26
19260830,0.01,0.3,0.48,-0.13,0.67,0.21
19260831,0.35,-0.14,0.15,0.55,0.71,0.68
19260901,1.24,0.97,1.02,0.58,0.42,0.69
19260902,-0.56,-0.05,0.03,-0.18,0.12,-0.33
19260903,0.58,-0.07,0.24,0.36,0.58,0.77
19260907,0.31,-0.19,0.58,0.96,0.3,0.25
19260908,-1.19,-0.31,-0.63,-0.52,-0.44,-0.96
19260909,-0.01,0.24,0.27,-0.02,-0.12,0.21
19260910,-0.78,-0.48,-0.99,-0.82,-0.79,-0.83
19260911,-0.22,-0.29,0,-0.57,-0.35,-0.54
19260913,-0.78,0.25,0.22,-0.04,0.04,-0.06
19260914,0.35,0.17,0.78,1.37,0.61,1.14
19260915,0.18,0.06,0.08,-0.2,-0.17,-0.43
19260916,-1.07,0.03,-0.63,-0.09,-0.28,-0.37
19260917,-1.23,-1.49,-1.25,-1.02,-0.86,-1.52
19260918,0.94,0.43,0.25,0.76,0.56,1.18
19260920,-0.95,-0.5,-0.61,-0.65,-0.61,-0.96
19260921,-0.07,0.3,-0.06,0.38,0.32,0.65
19260922,-0.23,-0.57,0.09,-0.21,0,-0.51
19260923,-0.16,0.26,0.04,0.18,0.28,0.1
19260924,0.58,0.48,0.51,0.8,0.55,0.84
19260925,0.52,0.16,-0.24,0.28,0.17,-0.08
19260927,-0.06,-0.13,0.52,-0.06,-0.16,0.18
19260928,0.06,0.16,-0.37,0.06,0,-0.19
19260929,0,0.14,-0.42,-0.33,-0.29,-0.19
19260930,-0.21,0.4,0.15,0.5,0.25,0.21
19261001,0.45,0.73,0.46,1.2,0.44,0.76
19261002,-0.3,-0.01,-0.22,-0.1,-0.03,-0.26
19261004,-1.83,-1.36,-1.74,-1.52,-1.29,-1.69
19261005,-0.31,-1.28,-1,-1.01,-1.13,-1.73
19261006,-1.32,-1.41,-1.34,-0.56,-0.28,-1
19261007,-0.45,-0.33,-0.29,-1,-0.6,-0.69
19261008,-0.33,0.72,0.66,0.79,0.35,1.08
19261009,-0.35,-0.49,-0.68,-1.11,-0.78,-0.99
19261011,-0.6,-1.27,-0.72,-0.82,-0.49,-0.98
19261013,1.03,0.28,0.46,0.79,0.65,1.26
19261014,-0.01,0.65,1.48,0.97,0.89,1.66
19261015,-1.82,-2,-2.02,-2.19,-1.48,-2.54
19261016,-1.17,-0.95,-0.81,-0.97,-0.51,-0.5
19261018,-0.11,0.66,1,0.91,0.58,0.64
19261019,-0.47,-0.36,-1.54,-1.45,-0.72,-1.38
19261020,-0.47,-1.1,-1.53,0.22,-0.29,-1.05
19261021,1.46,1.3,2.1,1.64,1.45,2.08
19261022,0.12,-0.75,0.4,-0.72,-0.22,-0.52
19261023,0.99,0.95,1.32,0.66,0.34,0.67
19261025,0.61,0,0.3,-0.18,-0.03,0.08
19261026,0.33,0.18,0.73,0.33,0.36,0.43
19261027,0.68,1.01,0.62,1.24,0.76,1.69
19261028,0.28,0.41,0.8,-0.21,-0.05,-0.29
19261029,-0.01,-0.18,-0.27,-0.02,-0.03,-0.42
19261030,-0.39,0.02,-0.03,-0.46,-0.21,-0.32
19261101,1,0.22,0,0.48,0.48,0.63
19261103,0.32,-0.07,-0.18,0.37,0.06,0.28
19261104,0.28,0.74,1.08,0.61,0.69,1.2
19261105,-0.04,0.08,0.1,-0.08,0.19,0.27
19261106,0.01,0.23,-0.35,-0.02,0.32,0.45
19261108,0.51,0.4,0.62,0.55,0.61,0.59
19261109,0.53,-0.21,0.37,0.33,0.07,-0.58
19261110,-0.51,-0.44,-0.48,-0.68,-0.64,-0.53
19261111,0.44,1.17,0.52,0.69,0.64,0.77
19261112,0.67,0.22,0.03,0.3,0.35,0.12
19261113,0.17,-0.35,-0.3,-0.32,-0.27,-0.18
19261115,0.53,0.62,0.31,0.21,0.46,-0.01
19261116,-0.61,0.13,0.06,0.7,-0.14,-0.11
