,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
19630701,-0.88,-0.48,-0.83,-0.62,-0.52,-0.89
19630702,0.47,0.6,0.46,0.55,0.8,1.05
19630703,0.38,0.29,0.72,0.59,0.65,0.73
19630705,0.43,0.41,0.67,0.16,0.52,0.48
19630708,-0.53,-0.45,-0.61,-0.63,-0.58,-0.68
19630709,0.48,0.49,0.54,0.71,0.25,0.64
19630710,-0.1,-0.06,0.23,-0.09,-0.22,-0.23
19630711,-0.24,0.02,0.08,0.15,-0.12,-0.31
19630712,-0.24,-0.22,0.25,0.24,-0.01,-0.4
19630715,-0.49,-0.76,-0.39,-0.67,-0.69,-0.56
19630716,-0.09,-0.08,-0.29,-0.41,0.01,0.03
19630717,-0.29,-0.24,-0.52,-0.4,-0.24,-0.31
19630718,-0.25,-0.39,-0.3,-0.47,-0.4,-0.82
19630719,-0.4,-0.26,-0.29,-0.69,-0.07,-0.11
19630722,-0.91,-0.72,-0.91,-0.98,-0.61,-0.67
19630723,-0.02,-0.09,-0.04,0,0.04,0.18
19630724,0.43,0.3,0.52,0.35,0.39,0.74
19630725,0.29,0.08,-0.03,-0.15,0.01,-0.06
19630726,0.34,0.43,0.15,0.17,0.31,0.66
19630729,0,0.05,-0.07,-0.02,0.22,0.11
19630730,0.73,0.3,0.74,0.76,0.7,1.36
19630731,-0.16,0.11,-0.01,0.3,-0.07,-0.45
19630801,-0.28,-0.43,-0.01,0.02,-0.1,-0.08
19630802,0.1,0.3,0.37,0.47,0.39,0.14
19630805,0.22,0.12,0.33,0.92,0.44,0.64
19630806,0.23,0.6,0.33,0.62,0.73,0.56
19630807,-0.02,-0.29,-0.25,-0.28,-0.13,-0.32
19630808,-0.01,0.12,0.32,0.19,0.1,0.3
19630809,0.47,0.38,0.71,0.69,0.71,0.51
19630812,0.69,0.4,0.35,0.4,0.23,0.04
19630813,0.1,0.05,0.01,0.2,0.24,0.37
19630814,0.47,0.21,0.31,0.48,0.22,0.49
19630815,0.28,0.28,0.06,0.35,0.44,0.54
19630816,0.04,0.11,0.42,0.13,0.19,0.12
19630819,-0.08,-0.02,-0.28,-0.29,0.09,-0.1
19630820,-0.11,0.07,-0.13,0.11,-0.06,-0.07
19630821,0.29,0.11,0.24,-0.02,-0.18,-0.15
19630822,0.43,0.25,0.89,0.61,0.11,0.7
19630823,0.34,0.4,0.39,0.39,0.37,0.39
19630826,0.03,0.07,0.22,0.05,0.16,0.31
19630827,-0.37,-0.31,-0.55,-0.54,-0.3,-0.56
19630828,1,0.98,0.73,0.9,0.68,0.73
19630829,0.48,0.08,0.28,0.17,0.17,0.28
19630830,0.5,0.71,0.57,0.24,0.45,0.58
19630903,0.59,0.21,0.17,0.32,0.13,0.4
19630904,0.01,0.1,0.12,0.13,-0.12,0.03
19630905,0.43,0.51,0.38,0.43,0.58,0.5
19630906,-0.33,-0.27,-0.5,-0.18,-0.35,-0.07
19630909,-0.43,-0.66,-0.63,-0.22,-0.4,-0.25
19630910,0.64,0.17,0.54,0.39,0.46,0.83
19630911,0.49,-0.03,-0.24,0.3,0.25,0.33
19630912,-0.14,-0.11,0.08,-0.34,0.01,-0.12
19630913,0.53,0.26,0.36,0.11,-0.11,0.11
19630916,-0.24,0.28,-0.09,-0.24,-0.2,0
19630917,-0.07,-0.09,-0.23,0.01,-0.02,0.22
19630918,-0.48,-0.27,-0.38,-0.77,-0.2,-0.57
19630919,0.37,-0.01,0.29,0.61,0.52,0.7
19630920,-0.12,-0.12,0.15,-0.04,-0.17,0.43
19630923,-0.63,-0.54,-0.71,-0.38,-0.38,-0.57
19630924,0.18,0.02,0.04,0.31,0.57,0.27
19630925,-0.84,-0.83,-0.77,-0.56,-0.45,-0.71
19630926,-0.51,-0.36,-0.48,-0.65,-0.75,-1.1
19630927,-0.06,0.09,0.21,-0.02,-0.09,-0.43
19630930,-0.61,-0.3,-0.54,-0.67,-0.38,-0.97
19631001,0.58,0.46,0.31,0.27,0.68,0.99
19631002,-0.04,0.05,-0.11,0.14,0.05,0.28
19631003,0.74,0.41,0.79,1.2,0.48,0.78
19631004,0.21,-0.11,-0.03,0.03,0.03,0.03
19631007,0.13,0.01,-0.17,-0.21,-0.47,0.15
19631008,0.02,0.06,0.25,-0.09,-0.2,-0.08
19631009,-0.46,-0.31,-0.88,-0.73,-0.55,-0.67
19631010,0.07,0.04,0.14,0.09,0.15,0.02
19631011,0.48,0.35,0.53,0.32,0.07,0.1
19631014,-0.02,-0.03,0.12,-0.05,0.1,0.1
19631015,-0.22,0.17,-0.17,0.19,0.21,0.16
19631016,0.77,0.24,0.84,0.53,0.85,1.34
19631017,0.24,0.37,0.1,0.3,0.11,0.12
19631018,0.23,-0.08,0.26,0.03,-0.01,0.26
19631021,-0.38,-0.25,-0.23,0.46,0.02,0.02
19631022,-0.47,-0.24,-0.41,-1.03,-0.51,-0.35
19631023,-0.17,-0.11,0.12,0.21,0.04,-0.01
19631024,0.33,0.45,0.34,0.49,0.21,0.61
19631025,0.48,0.09,0.67,0.48,0.58,2
19631028,-0.51,-0.06,-0.36,0.19,0.38,1.02
19631029,-0.04,-0.18,-0.49,0.31,-0.12,0.04
19631030,-0.31,-0.4,-0.46,-0.66,-0.59,-1.31
