,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
19630701,-0.71,-0.8,-0.68,-0.67,-0.65,-0.64
19630702,0.66,0.52,0.32,0.77,0.77,0.94
19630703,0.42,0.39,0.6,0.48,0.76,0.57
19630705,0.43,0.48,0.58,0.49,0.41,0.48
19630708,-0.41,-0.55,-0.68,-0.47,-0.54,-0.75
19630709,0.23,0.61,0.68,0.6,0.4,0.44
19630710,-0.06,0.21,-0.06,-0.28,-0.17,-0.19
19630711,-0.08,0.11,-0.18,-0.24,-0.07,-0.21
19630712,-0.2,-0.07,0.04,-0.11,-0.06,-0.15
19630715,-0.62,-0.57,-0.39,-0.63,-0.7,-0.55
19630716,-0.01,-0.13,-0.25,-0.2,-0.01,-0.05
19630717,-0.48,-0.26,-0.33,-0.28,-0.24,-0.36
19630718,-0.32,-0.31,-0.29,-0.53,-0.42,-0.7
19630719,-0.29,-0.41,-0.23,-0.46,-0.09,-0.2
19630722,-0.77,-0.82,-1.01,-0.96,-0.62,-0.66
19630723,-0.11,-0.09,-0.03,-0.04,0.22,-0.06
19630724,0.41,0.39,0.39,0.72,0.44,0.5
19630725,0.24,0.2,-0.15,-0.26,0.13,-0.18
19630726,0.38,0.04,0.42,0.52,0.29,0.48
19630729,-0.07,0.07,0.02,0.17,0.13,0.15
19630730,0.55,0.61,0.73,0.62,0.59,1.4
19630731,0.04,-0.01,-0.06,-0.04,-0.08,-0.2
19630801,-0.26,-0.06,-0.31,-0.3,-0.07,0.01
19630802,0.24,0.18,0.16,0.36,0.29,0.35
19630805,0.19,0.19,0.35,0.81,0.45,0.67
19630806,0.19,0.31,0.41,0.85,0.66,0.59
19630807,-0.15,-0.28,-0.09,-0.04,-0.08,-0.42
19630808,0.04,0.07,0.09,-0.19,0.19,0.27
19630809,0.49,0.5,0.56,0.53,0.56,0.75
19630812,0.56,0.43,0.45,0.28,0.19,0.21
19630813,-0.04,0.28,0.04,0.34,0.19,0.36
19630814,0.41,0.21,0.36,0.5,0.44,0.19
19630815,0.29,0.34,0.07,0.62,0.4,0.51
19630816,0.16,0.38,0.09,0.02,0.12,0.26
19630819,-0.04,-0.11,-0.22,-0.11,0.04,-0.09
19630820,0.01,-0.14,0,-0.17,0.03,-0.09
19630821,0.22,0.22,0.27,0.05,-0.24,-0.09
19630822,0.6,0.58,0.4,0.64,0.13,0.6
19630823,0.32,0.46,0.27,0.29,0.35,0.42
19630826,0.09,-0.06,0.3,0.16,0.24,0.13
19630827,-0.45,-0.38,-0.3,-0.52,-0.27,-0.59
19630828,0.95,0.73,0.96,0.74,0.64,0.84
19630829,0.35,0.12,0.46,0.15,0.17,0.25
19630830,0.63,0.32,0.73,0.38,0.38,0.57
19630903,0.28,0.45,0.32,0.38,0.13,0.33
19630904,0.22,0,-0.06,0.32,-0.06,-0.1
19630905,0.4,0.55,0.22,0.61,0.41,0.62
19630906,-0.43,-0.26,-0.41,-0.25,-0.42,0
19630909,-0.64,-0.49,-0.47,-0.39,-0.24,-0.38
19630910,0.66,0.44,0.34,0.52,0.36,0.82
19630911,0.17,0.07,-0.07,0.34,0.23,0.33
