,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
19261103,-0.2,0.02,0.49,0.12,-0.18,0.54
19261104,0.64,1.02,0.79,1.59,0.78,0.43
19261105,-0.59,-0.01,1.04,-0.48,-0.06,0.23
19261106,-0.34,0.01,0.19,0.6,0.32,0.02
19261108,0.32,0.44,0.9,1.23,0.27,0.63
19261109,0.13,-0.21,1.17,0.86,0.06,0.08
19261110,-0.99,-0.65,0.12,0.01,-0.84,-0.54
19261111,1.32,0.22,0.78,1.85,0.66,0.52
19261112,0.13,0.67,0.14,0.83,0.38,0.13
19261113,-0.76,-0.38,0.07,-0.23,-0.25,-0.25
19261115,0.71,0.4,0.8,0.5,0.34,0.41
19261116,0.5,-0.15,0.37,0.04,0.38,0.05
19261117,-0.77,0.03,-0.7,-0.48,-0.38,-0.31
19261118,-1.05,-0.19,-0.41,-0.88,-0.57,-0.38
19261119,-0.44,-0.24,-0.22,-0.72,-0.82,-0.55
19261120,0.85,0.23,0.36,0.52,0.6,0.3
19261122,0.79,0.31,1,1,0.59,0.57
19261123,0.26,-0.03,1.17,0.27,0.4,0.44
19261124,0.29,0.22,-0.18,0.35,0.14,-0.02
19261126,0.45,-0.17,0.11,0.36,0.23,0.2
19261127,-0.49,-0.19,0.21,-0.32,-0.19,-0.11
19261129,-0.19,-0.73,-0.74,-0.75,-0.14,-0.37
19261130,-0.16,-0.06,0.47,0.44,0.56,0.13
19261201,0.42,0.76,0.49,0.4,0.43,0.31
19261202,0.48,0.39,0.96,1.07,0.54,0.5
19261203,0.97,0.14,0.54,1.19,-0.04,0.44
19261204,-0.22,0.35,-0.13,-0.27,-0.13,-0.2
19261206,0.31,-0.23,0.31,-0.34,0.12,0.06
19261207,0.17,0.13,0.22,-0.38,-0.31,0.12
19261208,-0.29,0.01,0.58,0.47,-0.16,-0.01
19261209,0.53,0.65,-0.25,0.66,0.48,0.42
19261210,0.29,0.68,0.2,0.25,0.43,0.34
19261211,0.4,-0.4,-0.12,0.38,0.31,-0.06
19261213,1.23,0.71,0.72,1.46,0.08,0.53
19261214,-0.25,-0.01,0.58,-0.08,-0.06,0.29
19261215,0.5,0.18,-0.52,-0.32,0.32,0.06
19261216,-0.5,-0.65,-0.96,-1.06,-0.52,-0.61
19261217,0.43,0.4,0.24,0.68,0.8,1.13
19261218,0.55,0.11,0.24,0.8,0.3,0.57
19261220,-0.43,-0.13,0.39,-0.94,-0.2,-0.37
19261221,-0.42,-0.48,0.46,-0.1,0,0.04
19261222,-0.72,-0.23,0.23,0.86,-0.09,-0.01
19261223,-0.32,0.4,0.34,0.28,0.17,0.43
19261224,0.28,0.36,0.56,0.12,0.27,0.39
19261227,-0.52,-0.48,-0.23,-0.39,-0.24,-0.18
19261228,-1.42,-1.06,-1.39,-1.86,-0.98,-1.16
19261229,0.29,0.19,0.57,1.13,0.3,0.61
19261230,0.03,0.18,-0.32,-0.71,-0.45,-0.32
19261231,0.88,0.86,0.43,0.96,0.53,0.01
19270103,-0.25,-0.23,-0.78,-1.69,-0.57,-1.14
19270104,0.62,-0.01,0.32,0.77,0.24,0.49
19270105,0.84,0.54,0.46,0.59,0.16,0
19270106,0.11,-0.3,-0.01,-0.05,-0.35,-0.04
19270107,0.04,0.13,0.79,-0.11,0.25,0.48
19270108,1.26,0.28,0.32,0.46,0.44,0.35
19270110,0.72,-0.01,0.88,0.22,0.02,0.34
19270111,-0.23,-0.26,0.09,-0.43,-0.26,-0.32
19270112,-0.21,0.06,-0.49,-0.79,0.17,0.08
19270113,0.02,-0.37,0.5,-0.31,0.08,-0.2
19270114,-0.83,-0.16,-0.37,-0.42,0.06,0.12
19270115,0.33,0.52,0.89,-1.04,0.16,0.17
19270117,-0.14,-0.05,0.22,0.11,0.08,-0.25
19270118,-0.02,-0.16,-0.65,-0.17,-0.04,-0.05
19270119,0.25,0.48,0.15,1.69,0.41,0.83
19270120,-0.42,-0.18,-0.31,-0.19,-0.33,0.02
19270121,0.3,0.86,1.46,0.45,0.02,-0.08
19270122,-0.71,0.46,-0.05,-1.38,-0.26,-0.4
19270124,-0.36,0.23,-0.32,-0.86,-0.48,-0.5
19270125,-1.43,-1.88,-1.83,-0.97,-0.9,-1.27
19270126,-0.21,0.19,0.73,0.52,0.09,0.42
19270127,-0.51,-0.44,-0.62,0.09,-0.36,-0.35
19270128,0.39,0.19,0.91,0.04,0.15,0.2
19270129,0.29,0.47,1,0.9,0.5,1.16
19270131,-0.09,1.01,0.76,0.67,0.46,0.75
19270201,0.84,0.61,0.4,-0.19,0.07,-0.14
19270202,0.31,0.67,0.51,1.38,0.61,0.84
19270203,0.25,0.51,0.45,-0.5,0.27,0.23
19270204,-0.33,0.57,1.01,2.82,0.19,0.07
19270205,0.24,0.6,0.2,-0.22,-0.24,-0.13
19270207,0.12,0.59,-0.34,0.46,-0.22,0.01
19270208,0.44,1.28,0.3,0.27,0.08,0.07
19270209,0.21,-1,-0.42,0.26,-0.02,0.19
19270210,0.37,0.29,0.44,0.26,0.09,0.02
19270211,0.09,0.59,0.23,0.69,0.18,0.58
19270214,0.49,0.58,1.35,0.56,0.41,0.6
19270215,0.07,-0.13,0.48,-0.14,0.25,0
19270216,0.38,0.48,0.55,-0.69,0.03,0.01
19270217,0.29,0.77,0.51,-0.73,0.3,0.39
19270218,-0.55,-0.24,-0.19,-0.05,0.52,0.18
19270219,0.72,0.04,-0.46,-0.31,0,0.09
19270221,-0.36,0.01,-0.22,0.04,-0.22,-0.13
19270223,1.17,0.67,0.91,0.57,0.51,1.18
19270224,0.03,0.36,0.23,0.43,0.1,0.14
19270225,0.64,0.26,-0.07,0.47,0.2,0.18
19270226,-0.02,0.11,0.13,0.15,0.01,0.16
19270228,0.32,0.47,0.08,0.34,0.21,1.17
19270301,-0.73,-0.21,-0.58,-0.69,-0.26,-0.44
19270302,-1.57,-1.21,-1.51,-1.01,-0.91,-1.53
19270303,0.37,0.82,0.89,0.43,1,1.42
19270304,0.09,-0.58,-0.41,-0.3,-0.54,-0.42
19270305,0.31,-0.08,0.12,-0.74,-0.18,-0.45
19270307,-0.57,-0.67,-0.49,-0.69,-0.38,-0.23
19270308,-0.7,-0.29,-1,0.19,0.03,0.44
19270309,0.66,1.01,1.05,0.49,0.27,0.85
19270310,0.17,0.25,1.24,0.95,0.35,0.69
19270311,0.13,0.24,0.37,-0.86,0.34,0.09
19270312,0.49,0.69,-0.52,0.19,-0.07,-0.03
19270314,-0.29,0.1,-0.44,-0.57,0.13,0.6
19270315,-1,-0.96,-1.24,-0.87,-0.78,-0.86
19270316,0.01,0.02,1.21,0.33,1,1.32
19270317,0.23,-0.38,0.15,-0.17,0.72,0.21
19270318,-1.09,-0.63,-1.22,-0.3,-0.98,-0.6
19270319,0.31,-0.39,0.37,-0.05,0.1,0.01
19270321,-0.5,0.02,-0.42,-0.05,0.23,0.32
19270322,-1.25,-0.65,-1.28,-0.44,-0.85,-1.54
19270323,0.58,0.17,-0.09,0,0.21,0.23
19270324,0.12,0.59,1.28,0.35,0.64,0.97
19270325,0.53,0.57,0.57,0,0.16,0.18
19270326,0.27,0.02,-0.33,0.77,0.31,0.41
19270328,0.89,0.1,0.86,-0.05,0.4,0.92
19270329,-0.51,-0.24,-0.19,-0.56,-0.37,0.15
19270330,-0.69,-0.55,0.16,-1.2,-0.42,-0.7
19270331,0.43,-0.15,0.04,0.26,0.32,0.4
19270401,-0.1,-0.22,-0.05,-0.72,0.06,0.09
19270402,0.3,0.05,-0.13,-0.51,0.1,-0.28
19270404,0.24,0.78,1.47,-0.03,0.59,0.68
19270405,-0.07,0.46,0.4,0.95,0.35,1
19270406,0.49,0.34,0.31,0.04,0.03,0.23
19270407,-0.5,0.02,-0.55,0.45,0.33,0.09
19270408,0.32,-0.12,1.48,0.05,0.08,0.75
19270409,-0.86,0.36,0.24,-0.39,-0.1,0.35
19270411,0.67,0.09,0.14,0.04,0.24,0.18
19270412,0.57,-0.26,-0.59,0.12,-0.45,-0.18
19270413,0.44,0.23,-0.31,-0.03,0.21,0.39
19270414,0.48,0.07,0.17,0.42,0.03,0.14
19270416,0.54,0.18,0.71,-0.22,0.04,0.48
19270418,-0.06,0.1,0.26,-0.28,-0.12,0.15
19270419,0.03,0.47,0.52,0.58,0.24,0.05
19270420,0.13,0.61,0.26,0.33,0.46,0.02
19270421,-0.11,0.03,-0.21,0.05,0.4,0.55
19270422,-0.82,0.01,-0.61,-0.43,0.16,0.23
19270423,-0.04,-0.39,0.19,-0.75,-0.25,-0.43
19270425,-1.52,-1.01,-2.04,-1.12,-1.61,-1.71
19270426,0.34,0.04,1.2,0.49,0.57,0.68
